carat,cut,color,clarity,depth,table,price,x,y,z
0.7,Good,D,SI2,59.3,64,2312,5.8,5.76,3.43
0.41,Ideal,D,SI2,62.7,55,876,4.75,4.72,2.97
0.32,Ideal,E,VVS1,61.3,57,890,4.42,4.45,2.72
0.52,Ideal,G,VVS2,61.2,55,1878,5.22,5.2,3.19
1.51,Premium,F,VS2,61.7,58,13945,7.33,7.28,4.51
0.92,Premium,E,SI1,62.1,58,4482,6.22,6.15,3.84
1.01,Good,G,VS1,64,60,6509,6.29,6.33,4.04
1,Very Good,E,SI2,63.5,56,4704,6.38,6.31,4.03
1.07,Ideal,H,SI2,62.4,55,4840,6.56,6.59,4.1
1.02,Ideal,F,VS2,62,56,7326,6.42,6.45,3.99
1.52,Premium,F,SI1,62.6,59,11743,7.36,7.27,4.58
1.54,Good,H,VS1,63.1,57,10769,7.34,7.4,4.65
0.32,Ideal,D,VS2,61.5,56,972,4.42,4.39,2.71
0.33,Ideal,H,VVS1,62.5,56,901,4.44,4.42,2.77
0.32,Premium,I,VS1,61.3,58,505,4.35,4.39,2.68
0.51,Ideal,D,VS1,62.5,57,1779,5.08,5.13,3.19
1.02,Premium,E,SI2,59.9,58,4478,6.6,6.55,3.94
1.15,Ideal,G,VS2,62.2,54,5008,6.74,6.65,4.17
0.57,Premium,E,SI2,60.7,57,1320,5.42,5.35,3.27
0.55,Very Good,G,SI1,60.7,56,1141,5.32,5.38,3.25
1.02,Very Good,D,SI2,60.9,61,4904,6.47,6.53,3.96
2.09,Good,I,SI1,57.9,63,16294,8.37,8.46,4.87
0.41,Premium,E,SI1,61.2,59,904,4.82,4.78,2.94
1.5,Very Good,I,VS2,63.8,59,9960,7.29,7.23,4.63
0.51,Very Good,H,SI1,63.4,57,1227,5.09,5.06,3.22
1.23,Ideal,J,SI1,62.2,57,5407,6.89,6.81,4.26
0.72,Fair,G,VS1,66.4,57,2396,5.6,5.51,3.69
0.41,Premium,G,VS2,61.9,59,1061,4.77,4.73,2.94
0.34,Ideal,E,SI1,62.1,55,596,4.47,4.51,2.79
1.5,Premium,G,VS2,60.3,60,12787,7.34,7.26,4.4
1.65,Premium,D,SI2,61.6,58,11712,7.59,7.55,4.66
1.04,Ideal,H,SI2,61.7,57,4461,6.49,6.54,4.02
0.5,Ideal,F,VVS1,62,58,2018,5.06,5.07,3.14
0.91,Ideal,E,VVS1,61.7,56,9636,6.18,6.23,3.83
