"","ViolentCrimesPerPop","population","householdsize","racepctblack","racePctWhite","racePctAsian","racePctHisp","agePct12t21","agePct12t29","agePct16t24","agePct65up","numbUrban","pctUrban","medIncome","pctWWage","pctWFarmSelf","pctWInvInc","pctWSocSec","pctWPubAsst","pctWRetire","medFamInc","perCapInc","whitePerCap","blackPerCap","indianPerCap","AsianPerCap","HispPerCap","NumUnderPov","PctPopUnderPov","PctLess9thGrade","PctNotHSGrad","PctBSorMore","PctUnemployed","PctEmploy","PctEmplManu","PctEmplProfServ","PctOccupManu","PctOccupMgmtProf","MalePctDivorce","MalePctNevMarr","FemalePctDiv","TotalPctDiv","PersPerFam","PctFam2Par","PctKids2Par","PctYoungKids2Par","PctTeen2Par","PctWorkMomYoungKids","PctWorkMom","NumKidsBornNeverMar","PctKidsBornNeverMar","NumImmig","PctImmigRecent","PctImmigRec5","PctImmigRec8","PctImmigRec10","PctRecentImmig","PctRecImmig5","PctRecImmig8","PctRecImmig10","PctSpeakEnglOnly","PctNotSpeakEnglWell","PctLargHouseFam","PctLargHouseOccup","PersPerOccupHous","PersPerOwnOccHous","PersPerRentOccHous","PctPersOwnOccup","PctPersDenseHous","PctHousLess3BR","MedNumBR","HousVacant","PctHousOccup","PctHousOwnOcc","PctVacantBoarded","PctVacMore6Mos","MedYrHousBuilt","PctHousNoPhone","PctWOFullPlumb","OwnOccLowQuart","OwnOccMedVal","OwnOccHiQuart","OwnOccQrange","RentLowQ","RentMedian","RentHighQ","RentQrange","MedRent","MedRentPctHousInc","MedOwnCostPctInc","MedOwnCostPctIncNoMtg","NumInShelters","NumStreet","PctForeignBorn","PctBornSameState","PctSameHouse85","PctSameCity85","PctSameState85","LandArea","PopDens","PctUsePubTrans","LemasPctOfficDrugUn"
"1",724.95,28259,2.86,42.15,56.94,0.52,0.5,16.26,28.79,13.83,9.53,28259,100,22052,77.25,1.32,21.89,25.09,13.69,9.35,27523,10009,13654,5095,5019,15413,9752,6410,22.94,15.88,37.55,10.76,8.34,59.29,14.03,21.22,19.96,20.04,11.69,29.48,16.28,14.22,3.33,60.12,51.11,61.99,61.76,67.15,72.4,2412,9.54,187,0,5.88,26.2,28.34,0,0.04,0.17,0.19,98.41,0.18,7.83,5.91,2.83,2.88,2.77,58.69,6.3,43.55,3,626,94.04,57.74,8.31,28.75,1967,12.35,1.08,38900,50900,69100,30200,155,248,318,163,343,29,20.5,14.1,13,0,0.66,53.03,52.14,82.37,88.6,14.9,1900.7,0.1,0
"2",1304.78,367302,2.36,13.57,79.35,1.4,2.6,13.38,27.1,13.31,11.4,367193,100,25708,78.06,1.04,40.18,24.13,5.85,13.35,32619,15434,17272,7238,9829,14901,9193,53768,14.99,5.03,17.74,25.82,6.09,62.75,14.16,24.19,10.36,30.07,12.78,28.45,17.3,15.18,2.96,68.73,65.86,79.06,70.27,59.86,66.88,9754,3.66,11010,19.28,26.88,36.79,47.65,0.58,0.81,1.1,1.43,94.63,0.88,3.64,2.29,2.31,2.47,2.1,59.77,2.8,51.13,2,20764,88.22,55.81,11.02,50.29,1965,7.03,0.33,42000,60500,89700,47700,225,293,380,155,358,24.4,19.8,12.8,334,91,3,56.17,46.2,77.81,86.27,190.1,1931.9,1.5,4.56
"3",59.64,38518,2.8,0.91,97.97,0.68,1.32,13.69,24.95,12.5,11.01,33788,87.72,47106,83.39,1.08,57.24,27.61,2.77,17.91,52833,19954,20026,18182,23000,17198,22516,1067,2.8,8.09,20.84,21.82,3.83,70.49,23.14,22.24,11.87,29.02,5.95,28.13,8.62,7.33,3.17,85.72,84.36,96.1,87.08,65.74,77.59,173,0.62,2324,2.58,4.13,7.36,10.67,0.16,0.25,0.44,0.64,88.38,1.06,3.48,2.75,2.78,2.88,2.33,83.7,0.9,33.08,3,484,96.6,80.58,1.45,36.57,1966,0.86,0.08,146600,178500,224600,78000,359,517,649,290,593,22.9,21.4,12.9,0,0,6.03,70.17,64.94,88.01,94.88,37.3,1033,0.46,0
"4",69.41,14167,2.72,2.48,93.36,3.88,0.96,13.42,23.91,10.99,9.47,13578,95.84,48547,84.81,0.58,61.76,21.28,2.23,12.86,57262,19370,19711,17055,50850,13089,10243,387,2.75,3.65,12.43,36.62,2.64,71.4,30.32,21.45,9.88,37.84,6.34,27.1,9.64,8.09,3.27,86.04,85.76,97.8,83.39,55.76,69.74,115,1.2,676,13.91,16.72,29.14,30.77,0.66,0.8,1.39,1.47,92.6,1.22,4.73,3.4,2.71,3.01,2,78,1.02,34.27,3,187,96.53,70.24,1.07,14.97,1975,0.33,0.22,119500,163200,205100,85600,300,538,640,340,623,26.3,21.7,12.4,0,0,4.77,69.51,54.13,78.7,87.02,10.1,1409.7,1.81,0
"5",185.08,13228,2.84,0.77,94.1,4.43,2.24,13.07,24.25,11.44,8.54,13228,100,65590,85.7,0.45,66.97,20.77,0.88,13.94,73741,27262,27646,33862,26813,19284,17581,325,2.46,2.04,6.7,47.02,3.75,67.55,16.25,19.17,4.64,41.85,5.47,27.15,7.74,6.65,3.19,88.05,88.22,98.17,87.2,44.71,58.76,50,0.54,1285,11.36,17.51,23.35,34.79,1.1,1.7,2.27,3.38,88.66,1.17,4,3.22,2.84,2.93,2.34,86.6,0.8,23.59,3,307,93.81,83.73,0,31.6,1960,0.21,0.52,215500,263300,341800,126300,741,900,1001,260,962,28.8,23.4,16.5,11,0,9.71,44.74,62.27,83.09,86.74,5.7,2304.4,8.34,0
"6",815.98,60633,2.89,4.03,91.16,4.04,1.64,36.54,58.57,46.22,6.18,60633,100,18393,84.61,0.66,47.29,16,4.65,10.37,29912,10616,10722,7581,8351,12297,6446,14462,31.46,4.65,13.51,47.94,6.83,50.86,8.33,44.49,7.91,38.44,5.7,64.28,8.83,7.36,2.81,67.48,65.3,73.55,64.12,59.73,67.09,576,2.44,4115,44.71,54.9,67.53,71.47,3.03,3.73,4.58,4.85,90.97,1.31,2.29,1.47,2.19,2.39,2.09,37.28,2.85,65.7,2,1042,95.27,34.2,1.15,22.17,1967,3.7,0.25,52900,76300,107600,54700,268,348,438,170,403,34.9,18.1,11.7,61,0,6.79,52.83,23.52,42.67,71.02,15.7,3871.8,3.45,0
"7",33.01,20079,2.63,1.57,97.15,1,0.63,17.12,29.18,17.06,13.81,0,0,24536,74.73,0.8,44.54,30.24,6.19,19.12,30345,12029,11798,10484,16528,38234,8746,2248,12.13,7.17,23.68,18.11,6.47,57.7,35.4,26.85,25.04,24.87,9.08,28.56,12.52,10.96,3.02,74.77,72.27,84.54,79.2,57.38,72.4,121,0.78,349,31.52,37.82,39.26,39.26,0.55,0.66,0.68,0.68,96.05,0.56,3.48,2.33,2.43,2.55,2.23,67.29,1.17,45.3,3,388,95.16,64.26,0.52,37.89,1955,5.23,0.4,37100,50400,72700,35600,194,254,311,117,341,24.7,16.7,12.4,4,0,1.74,80.41,50.67,79.63,92.48,9.8,2044,0.16,0
"8",83.27,49256,2.55,0.11,96.67,0.44,0.66,13.98,26.81,12.39,10.06,49256,100,28223,82.14,3.86,48.51,23.02,4.75,11.76,35876,13339,13521,6473,5258,19124,6129,4631,9.65,10.77,16.58,26.39,4.41,69.16,5.01,29.2,8.3,31.55,7.28,28.63,10.11,8.79,3.08,78.39,79.25,87.06,76.39,76.08,81.95,503,1.3,606,8.09,8.91,15.02,22.44,0.1,0.11,0.18,0.28,91.41,0.67,3.19,2.2,2.48,2.84,1.94,69.32,1.38,45.97,3,723,96.39,60.72,0.28,24.76,1971,2.22,0.28,55600,67900,85000,29400,244,316,383,139,347,23.3,20.5,12,49,2,1.23,78.91,51.2,77.75,93.49,25.2,1953.7,0.13,0
"9",145.2,12183,2.36,0.41,97.55,1.55,0.91,11.29,26.87,12.2,11.28,0,0,32221,84.63,0.51,38.36,23.87,3.37,10.47,40745,15012,15086,12405,20559,7679,11733,728,6.07,5.83,17.61,26.78,3.14,69.56,14.87,36.57,11.79,29.23,9.73,28.87,13.85,11.94,2.93,74.41,72.56,84.48,77.2,75.27,77.15,160,1.78,376,23.14,23.14,34.57,37.77,0.71,0.71,1.07,1.17,93.31,1.23,1.9,1.18,2.32,2.61,2.02,58.03,1.26,56.02,2,545,90.47,51.73,1.28,34.31,1957,3.83,0.79,88900,117200,148400,59500,357,451,553,196,499,26.1,23.7,13.7,2,0,3.09,54.87,42.07,69.61,75.44,41.8,291.4,0.75,0
"10",410.47,50618,2.77,2.19,86.95,1.45,15.52,11.08,23.2,8.71,13.02,50618,100,34205,75.6,0.58,43.65,29.01,4.29,20.51,38177,14059,14810,11933,12841,9826,9350,3914,7.87,5.6,16.54,16.87,4.62,59.93,12.16,21.1,10.49,25.07,7.77,17.84,10.44,9.19,3.14,82.45,79.37,89.07,81.49,61.39,68.46,703,1.85,2157,8.39,11.87,20.21,29.44,0.36,0.51,0.86,1.25,85.71,1.79,5.62,4.35,2.73,2.76,2.57,83.9,4.32,49.04,3,3690,83.18,82.89,1.49,43.58,1985,2.22,0.11,68300,85500,104700,36400,362,479,714,352,590,33.3,25.3,11.9,0,5,4.26,31.74,31.93,74.4,76.42,63.7,794.8,0.57,0
