murders,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
yes,14732,2.99,10.98,88.46,0.33,0.54,13.87,27.21,11.67,6.64,14732,100,39261,87.11,0.68,35.42,15.1,3.72,9.27,42446,13645,14083,10395,9221,10611,7332,818,5.65,7.82,22.15,24.38,2.83,70.38,12.66,21.95,11.31,30.14,6.81,20.57,9.83,8.39,3.23,83.95,80.57,98.26,87.95,65.19,68.02,111,1.08,164,21.34,25,32.32,35.98,0.24,0.28,0.36,0.4,97.29,0.16,3.78,3.21,2.94,2.99,2.69,84.15,2.19,23.99,3,223,95.66,82.71,0,21.97,1979,2.11,1.15,61400,76800,92300,30900,185,311,385,200,422,21.2,16.9,11.9,0,0,1.11,68.17,43.46,62.31,85,19.5,754.6,0.14,0
no,16367,2.81,0.56,96.62,1.88,1.87,13.8,21.98,9.82,6.76,16367,100,45474,86.98,0.89,55.82,15.39,2.44,12.71,49811,20168,20442,19028,7130,11941,18503,637,3.92,1.96,7.91,36.54,2.64,72.24,13.21,25.25,6.88,40.36,7.94,21.14,11.74,9.89,3.14,83.66,83.31,90.55,83.8,62.12,73.11,58,0.57,624,10.74,11.38,12.34,14.9,0.41,0.43,0.47,0.57,96.12,0.42,3.55,2.87,2.8,2.89,2.49,80.71,1.34,24.74,3,131,97.8,78.28,3.82,18.32,1974,2.13,0.2,75600,102500,149700,74100,360,422,549,189,511,24.3,21.8,14.3,0,0,3.81,48.96,44.8,64.88,82.56,6.9,2383.1,2.33,0
yes,66692,2.52,6.17,90.7,1.83,8.14,12.47,24.85,11.7,13.02,66692,100,41832,80.64,0.82,53.22,26,2.53,13.21,50382,21702,22402,15340,17358,15381,14803,2339,3.54,3.84,12.34,31.73,3.91,66.72,9.19,24.38,4.97,37.33,8.24,27.15,12.08,10.27,2.97,80.7,79.43,91.84,76.66,59.08,68.12,590,1.28,9284,12.16,18.42,26.13,34.31,1.69,2.56,3.64,4.78,85.15,1.91,2.99,2.12,2.5,2.63,2.16,76.31,2.45,48.78,3,2910,90.1,72.6,0.24,24.54,1978,0.62,0.18,93300,130100,172900,79600,530,617,735,205,705,27.1,23.2,12.5,0,0,13.92,20.85,40.63,70.21,77.34,22.5,2959.4,0.87,8.33
yes,1006877,2.5,29.5,55.3,2.18,20.88,13.17,31.03,14.35,8.72,1006831,100,27489,82.88,0.86,34.27,19.32,5.77,9.85,31925,16300,22898,8444,10048,12628,7093,177790,17.97,12.32,26.55,27.12,7.43,65.59,14.1,20.4,13.63,28.29,13.17,37.01,17.88,15.58,3.24,63.68,57.49,75.51,64.88,61.35,67.59,49587,7.28,125862,15.56,27.63,41.44,58.2,1.94,3.45,5.18,7.27,77.83,6.13,9.13,5.42,2.46,2.7,2.28,48.31,9.76,65.16,2,63540,86.35,44.1,12.32,33.53,1968,8.02,0.57,50600,78800,137200,86600,307,375,469,162,426,24.2,21.1,13,1200,293,12.5,59.5,44.14,79.44,88.73,354.7,2838.4,6.68,3.42
yes,12351,2.46,8.69,90.79,0.32,0.28,12.99,24.29,11.65,17.5,0,0,17805,64.38,2.43,34.19,37.73,18.36,15.23,24023,10786,11186,6748,11413,0,9985,2895,24.71,31.54,46.73,10.51,9.08,48.33,25.43,23.26,23.39,18.85,9.99,23.47,13.79,12.14,2.94,69.57,65.89,71.7,74.13,51.46,62.94,356,3.16,34,0,0,0,0,0,0,0,0,97.56,0.34,2.32,1.56,2.34,2.43,2.21,60.56,1.38,45.3,3,382,92.92,58.29,1.05,41.1,1963,10.61,0.56,30100,43400,64500,34400,124,202,260,136,255,24.3,17.1,12.1,0,0,0.28,87.9,51.99,87.78,95.53,10.9,1131.9,0.18,0
yes,53418,2.76,0.82,97.6,1.26,1.86,14,24.96,14.22,15.01,49020,91.77,55752,78.41,0.75,64.8,30.55,2.55,20.14,65070,26895,27083,17948,17288,17807,18958,1837,3.61,5.24,13.43,40.91,4.16,61.91,16.45,28.67,6.37,42.91,5.29,31.6,8.23,6.86,3.04,85.36,84.54,96.21,80.48,49.2,62.96,176,0.46,4215,9.44,13.59,18.24,22.75,0.75,1.07,1.44,1.8,89.65,0.7,3.3,2.69,2.63,2.69,2.38,82.21,0.64,26.09,3,833,95.88,80.31,0.36,51.02,1954,0.18,0.09,203100,253600,360700,157600,570,769,1001,431,895,26.6,23.5,15.1,22,8,7.89,51.13,63.77,83.14,85.58,31.1,1716.6,7.24,1.01
yes,23755,2.72,58.44,41,0.43,0.29,16.96,27.15,13.5,13.84,0,0,15917,64.31,0.73,23.41,36.45,19.72,14.93,20385,8844,14108,5143,913,16380,5584,8233,35.71,16.59,39.46,15.59,10.89,46.94,23.33,28.76,21.95,25.57,10.73,34.3,15.26,13.35,3.3,50.33,42.57,56.43,54.01,59.79,61.43,3044,13.18,153,48.37,57.52,57.52,73.86,0.31,0.37,0.37,0.48,97.1,0.51,8.5,5.88,2.64,2.63,2.65,53.23,5.78,44.17,3,825,91.37,53.35,2.91,49.21,1963,11.5,1.92,31400,45500,66000,34600,99,161,236,137,264,29.1,17.8,13.7,28,0,0.64,86.06,58.4,87.29,94.14,14.4,1647.8,0.29,0
yes,10764,2.62,1.2,96.79,0.76,1.37,14.08,24.58,11.8,11.06,7265,67.6,30200,78.38,0.78,43.97,29.35,10.29,18.77,34723,13424,13608,7416,2154,8815,8926,1261,11.94,8.18,24.27,10.88,8.18,58.07,28.21,19.5,19.45,21.21,12.55,23.81,13.43,13,3.01,77.13,74.77,82.39,81.46,62.43,70.66,130,1.57,240,27.08,27.08,27.08,27.08,0.6,0.6,0.6,0.6,95.74,0.28,3.24,2.41,2.58,2.65,2.27,84.08,1.83,42.82,3,191,95.55,81.9,2.09,29.84,1959,3.58,0.61,31700,50000,72100,40400,256,314,395,139,408,26.4,15.2,14,0,0,2.23,76.66,61,86.76,92.7,33.4,322.2,0,0
yes,10066,2.96,30.76,66.29,0.74,4.7,26.03,37.39,25.72,10.88,0,0,20078,67,0.83,32.17,33.23,17.71,16.94,26087,9005,9680,7999,9743,1025,6773,2143,25.36,12.88,29.49,16.82,12.35,49.77,22.1,44.15,20.51,22.87,8.7,45.26,12.46,10.75,3.08,53.45,50.16,70.72,61.05,55.2,66.56,616,8.1,215,13.02,13.02,13.02,13.02,0.28,0.28,0.28,0.28,93.12,0.79,4.75,3.3,2.5,2.58,2.39,59.58,3.06,41.68,3,257,92.97,57.75,9.73,45.91,1946,11.94,0.38,22500,31700,43700,21200,154,235,296,142,290,28.9,14.5,13.7,0,0,2.14,67.22,51.67,74.01,91.41,4.4,2310.8,0.27,0
yes,66643,2.16,0.35,95.81,2.89,3.97,9.53,25.02,11.89,13.93,66643,100,60374,78.19,1.37,57.59,21.36,2.07,12.76,81929,45434,45930,29148,34324,41323,31044,3731,5.67,1.1,4.69,50.25,3.01,67.46,13.44,24.45,3.45,48.84,12.77,36.25,16.08,14.45,2.67,77.69,77.12,91.37,81.13,44.23,56.16,374,0.92,6045,11.46,18.2,25.61,31.18,1.04,1.65,2.32,2.83,89.36,0.99,1.99,1.12,2.14,2.33,1.89,60.89,1.62,51.8,2,4001,88.52,55.76,0.3,12.77,1968,0.45,0.26,416700,500001,500001,83301,749,961,1001,252,967,26.3,25.8,11.7,45,0,9.07,46.45,42.18,76.35,88.94,14.5,4589.7,0.95,3.36
