nonViolPerPop,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumKidsBornNeverMar,PctKidsBornNeverMar,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,OwnOccQrange,RentLowQ,RentMedian,RentHighQ,RentQrange,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn
7702.22,15197,2.5,1.22,91.62,2.69,4.74,24.16,45.34,31.54,8.78,0,0,18551,77.96,1.06,43.21,20.43,8.81,12.49,28549,10676,11021,6129,10306,4001,6416,3903,28.12,4.66,14.28,36.89,9.44,53.91,11.52,32.8,12.16,28.56,7.97,56.24,12.63,10.29,2.87,61.38,60.14,71.33,53.4,54.29,66.3,203,2.57,703,10.67,14.94,19.49,24.04,0.49,0.69,0.9,1.11,91.65,1.18,3.46,2.01,2.29,2.44,2.17,46.13,3.51,58.81,2,229,96.37,43.17,0.44,18.78,1966,3.57,0.89,72800,91400,122100,49300,275,382,476,201,430,35.1,20.3,11.6,0,3,4.63,61.19,33.1,60.23,90.63,8.4,1816.1,1.2,0
4279.66,72884,2.79,1.35,91.52,6.78,1.27,13.95,24.43,11.69,7.69,72884,100,55407,86.77,0.5,63.29,18.72,1.88,13.48,63187,23249,23382,23621,14978,21518,16200,2061,2.83,3.54,11.07,39.89,3.19,70.67,23.82,25.72,6.52,44.09,5.9,28.17,8.28,7.13,3.29,89.95,89.58,96.01,90.38,52.6,63.92,179,0.37,8465,14.09,19.21,26.62,32.2,1.64,2.23,3.09,3.74,85.78,1.56,4.54,3.42,2.78,3.1,1.87,83.04,1.31,30.01,3,1030,96.21,74.7,1.07,18.25,1972,0.34,0.18,99900,128900,167600,67700,496,584,661,165,620,22.7,19.6,12.3,0,0,11.61,65.61,55.47,78.04,89.91,34.7,2098,0.16,3.82
5835.3,112301,2.48,1.45,96.2,0.98,1.97,12.45,25.52,11.82,13,111456,99.25,28242,77.67,0.72,41.65,28.24,5.16,17.79,34010,13208,13357,8217,9864,8041,10057,10557,9.52,6.88,21.65,13.74,5.46,63.81,17.58,19.31,17.37,20.94,11.28,22.99,14.72,13.12,2.96,74.41,70.86,83.76,73.87,71.03,75.71,1295,1.48,1760,6.36,15,21.65,25,0.1,0.24,0.34,0.39,96.3,0.51,3.39,2.38,2.46,2.57,2.22,70.33,1.82,45.81,3,2940,93.91,67.11,1.97,33.03,1962,3.19,0.31,43100,56000,71600,28500,247,311,383,136,387,25.1,16.9,11.7,7,0,1.57,69.02,54.58,86.51,91.72,81,1386.3,1.28,3.87
7364.72,80414,2.61,41.58,57.23,0.85,0.81,17.66,33.2,19.51,11.69,80414,100,25153,77.17,0.67,34.72,26.21,8.36,16.15,32212,14093,18980,7522,11350,9166,10616,16227,21.61,9.29,23.46,29.44,5.15,60.02,8,31.76,9.08,31.56,9.55,43.56,13.42,11.62,3.12,59.31,51.85,67.62,61.32,67.24,73.01,6087,10.52,1906,22.77,27.49,32.69,39.4,0.54,0.65,0.77,0.93,94.91,0.58,5.93,3.66,2.43,2.63,2.25,52.01,4.15,53.18,2,3569,89.6,48.14,8.94,59.71,1964,5.06,0.6,61800,86600,138400,76600,218,341,417,199,428,28.6,22,13.4,176,0,2.37,65.84,44.85,75.4,83.62,44.8,1796.2,5.85,2.4
7107.32,23875,2.67,0.75,94.72,2.74,2.06,13.62,25.83,11.67,10.84,23875,100,32849,78.56,0.64,44.84,26.21,7.11,16.93,39266,13576,13755,10898,8285,10330,6639,1620,7.01,6.17,16.83,17.67,5.61,61.46,23.2,22.21,14.94,25.44,11.07,24.96,14.33,12.8,3.12,76.7,76.06,87.97,77.11,55.86,66.86,197,1.09,1021,8.62,14.59,16.16,23.6,0.37,0.62,0.69,1.01,94.2,0.84,4.11,2.86,2.59,2.86,2.19,65.76,2.75,45.94,3,433,95.38,59.6,1.85,19.4,1971,2.73,0.26,66200,84900,113700,47500,321,396,465,144,466,25.8,21.4,12.2,0,0,4.28,51.11,42.64,76.41,86.4,10.7,2240.5,1.76,0
3183.72,13187,2.47,3.03,93.76,1.36,3.4,10.16,23.25,10.96,18.77,12895,97.79,35855,76.78,0.32,61.86,30.74,4.14,21.23,42245,18645,19257,11353,0,6595,9070,771,6.27,10.36,21.66,27.84,3.31,62.15,22.62,29.11,14.22,32.72,8.14,24.65,10.71,9.55,2.81,77.84,75.4,85.65,73.14,70.99,75.28,169,1.77,696,15.52,25.43,30.17,37.79,0.82,1.34,1.59,1.99,89.75,0.76,2.85,1.89,2.32,2.57,1.95,65.72,1.16,40.69,3,199,96.4,59.31,0.5,25.63,1961,0.41,0.09,70700,92700,140300,69600,403,458,535,132,534,25.1,20.2,11.7,0,0,5.28,74.75,49.01,82.92,89.32,6.3,2104.5,1.68,0
4492.52,12922,2.59,24.49,73.68,0.87,1.49,15.1,28.26,13.84,12.43,0,0,23078,75.91,1.1,27.07,29.08,9.21,19.69,28196,10517,12078,6060,11581,8477,8998,2105,16.73,13.51,28.02,14.69,7.05,56.13,12.8,24.15,15.13,24.86,9.42,27.33,13.61,11.67,3.08,70.49,65,82.68,73.36,60.11,67.92,286,2.49,276,2.54,2.54,5.43,12.32,0.05,0.05,0.12,0.26,96.33,0.16,4.53,3.17,2.52,2.59,2.42,61.02,3.01,37.22,3,635,88.7,59.35,1.89,45.2,1968,11.73,0.36,38600,52500,71300,32700,128,199,311,183,286,22.9,19.6,13.4,0,0,2.14,57.65,49.18,74.46,80.74,17.2,753.2,0.13,0
2872.06,11482,2.94,0.41,97.09,0.57,0.74,13.43,26.77,10.73,4.46,11482,100,45489,90.02,1.3,41.75,12.59,3.45,7.79,47908,18182,18085,6082,26405,6410,13364,427,3.74,2.92,10.14,25.7,3.36,77.4,19.16,18.67,11.6,27.53,7.75,25.28,8.63,8.18,3.28,85.13,84.67,90.64,84.12,70.99,76.71,134,1.81,131,6.11,6.11,6.11,6.11,0.07,0.07,0.07,0.07,96.83,0.33,3.64,2.95,2.94,3.06,2.43,85.17,1.33,28.32,3,276,93.39,82.03,1.09,56.52,1978,0.87,1.24,83200,99600,139100,55900,401,488,600,199,566,25.5,23,13.3,0,0,1.14,76.21,48.44,70.49,94.07,13.5,847.8,0.6,0
10816.24,50961,2.23,16.22,81.99,0.69,4.73,10.72,22.78,11.3,21.45,50978,100,24884,65.37,0.45,45.23,40.1,5.56,18.68,30236,16151,18170,6604,9891,8046,9055,6500,13.25,7.79,23.64,21,4.69,55.05,8.58,23.37,10.18,24.92,15.18,30.93,17.66,16.51,2.73,55.96,50.44,61.32,57.17,65.83,74.7,1902,4.87,3297,10.01,17.05,22.72,29.69,0.65,1.1,1.47,1.92,91.07,1.38,3.36,1.98,2.14,2.11,2.19,55.93,3.95,70.12,2,4152,84.61,56.88,2.91,24.86,1967,7.96,0.3,55700,71600,107800,52100,317,411,509,192,492,28.6,23,12.2,84,7,6.47,27.13,45.21,73.63,81.08,15.2,3363.3,1.55,6.77
4730.9,13874,2.58,3.21,91.44,4.9,1.6,25.03,39.16,26.34,11.06,13874,100,44218,79.35,0.67,69.59,24.16,0.84,11.56,71989,31122,33258,4149,5000,14539,22325,504,4.57,1.23,3.63,66.98,2.74,59.07,10.12,52.28,1.96,53.69,6.66,48.26,10.5,8.73,2.86,75.93,77.26,88.16,80.22,70.62,75.7,60,0.81,1050,17.33,25.52,36.38,39.71,1.31,1.93,2.75,3.01,90.84,0.42,2.43,1.28,2.06,2.45,1.68,59.34,0.61,53.05,2,416,92.83,49.93,0.96,37.74,1941,0.2,0,190700,262200,363800,173100,387,465,570,183,521,21.8,18.4,12.1,0,0,7.57,44.37,39.69,56.72,68.61,2.6,5419.5,1.96,0
3633.23,23936,2.34,3.11,69.82,21.25,13.42,11.69,27.02,11.88,10.61,23936,100,43043,83.39,0.6,51.49,17.58,3.39,10.13,55808,26106,27886,29668,16382,22825,16887,1184,5,3.88,8.37,48.96,2.55,68.65,9.65,36.46,3.28,51.51,9.55,36.33,14.63,12.3,3.05,74.48,74.91,92.86,72.79,51.01,65.11,196,1.4,5609,12.93,20,30.36,39.08,3.03,4.69,7.11,9.16,68.01,4.34,5.1,2.94,2.31,2.79,1.94,53.44,5.75,64.46,2,487,95.46,44.4,2.05,23.61,1951,0.38,0.09,278900,383600,500001,221101,538,643,743,205,696,25.9,23.5,10.9,0,0,23.43,44.91,48.73,82.64,87.33,3.6,6731.2,1.71,0
4421.48,28259,2.86,42.15,56.94,0.52,0.5,16.26,28.79,13.83,9.53,28259,100,22052,77.25,1.32,21.89,25.09,13.69,9.35,27523,10009,13654,5095,5019,15413,9752,6410,22.94,15.88,37.55,10.76,8.34,59.29,14.03,21.22,19.96,20.04,11.69,29.48,16.28,14.22,3.33,60.12,51.11,61.99,61.76,67.15,72.4,2412,9.54,187,0,5.88,26.2,28.34,0,0.04,0.17,0.19,98.41,0.18,7.83,5.91,2.83,2.88,2.77,58.69,6.3,43.55,3,626,94.04,57.74,8.31,28.75,1967,12.35,1.08,38900,50900,69100,30200,155,248,318,163,343,29,20.5,14.1,13,0,0.66,53.03,52.14,82.37,88.6,14.9,1900.7,0.1,0
4567.06,22430,2.67,0.28,98.83,0.59,0.59,19.96,32.9,21.18,12.62,0,0,31235,79.04,0.93,51.45,28.59,4.67,16.39,38391,14246,14312,1704,5270,12691,9317,1632,8.06,6.21,16.34,28.98,6.42,63.92,19.92,27.04,13.56,28.3,8.61,35.27,11.97,10.46,2.97,74.41,73.75,80.96,82.82,66.56,75.69,281,1.74,594,7.41,21.38,26.77,30.3,0.2,0.57,0.71,0.8,95.33,0.52,2.93,1.94,2.42,2.67,2.07,64.12,1.25,48.35,3,450,94.91,58.09,0.44,25.78,1954,4.6,0.33,90900,113000,142400,51500,346,481,595,249,542,29.7,23.7,15.5,1,0,2.65,48.31,47.1,71.82,79.59,38.6,580.3,0.03,0
3860.52,16117,2.2,1.38,91.58,4.83,6,9.28,20.97,9.42,16.42,16117,100,33385,73.64,1.2,54.45,28.43,4.19,19.64,40156,19533,19921,17079,22376,16544,18348,1001,6.31,3.76,10.76,35.8,3.63,64.86,6.49,31.03,6.02,38.64,12.91,29.35,18.97,16.22,2.74,70.01,69.02,86.47,72.13,63.43,75.89,156,1.42,1668,12.05,15.17,21.52,28.12,1.25,1.57,2.23,2.91,86.54,1.99,2.28,1.32,2.16,2.3,2.04,50.82,2.59,62.58,2,574,92.75,47.78,0.52,15.33,1954,0.64,0.48,205300,262000,335900,130600,560,670,892,332,730,30.7,26.5,12.2,0,0,10.35,47.74,49.82,72.94,86.74,2.9,5596.2,1.75,0
9956.08,164693,2.51,26.9,68.76,1.56,8.74,15.77,34.53,18.37,10.06,164693,100,26119,80.89,0.48,32.38,22.52,6.37,11.8,30570,13879,16728,7369,10526,11894,9528,23797,15.76,7.62,21.9,22.59,4.56,69.31,8.66,19.29,10.6,27.28,13.99,42.76,18.4,16.18,2.98,57.46,49.98,66.02,58.67,64.79,72.24,9455,9.1,11436,14.94,23.98,33.6,45.3,1.04,1.66,2.33,3.15,87.33,2.4,5.24,2.99,2.29,2.44,2.19,43.72,5.75,66.7,2,7722,89.48,41.1,2.81,15.35,1972,7.31,0.29,59100,74300,98400,39300,338,428,511,173,506,27.3,21.4,12.6,688,235,6.94,32.34,35.77,62.21,71.83,69.7,2363.3,3.56,9.35
5842.69,37446,2.54,17.67,80.17,0.41,2.55,14.23,28.42,13.7,12.51,37446,100,20830,68.73,0.37,31.72,30.91,16.76,17.39,25355,10410,11048,7887,6481,9158,7182,9058,24.71,9.08,28.48,10.77,11.02,53.44,22.35,22.65,19.43,19.41,15.04,33.47,18.69,17.02,3.12,54.76,52.97,56.89,64.39,55.92,65.28,2134,6.57,644,13.35,13.35,20.5,21.58,0.23,0.23,0.35,0.37,95.31,0.39,6.52,4.18,2.47,2.6,2.31,58.67,2.4,48.01,3,966,93.84,55.81,4.24,36.85,1939,9.45,0.47,23100,32100,44200,21100,212,283,351,139,338,27.6,17.3,13.7,44,0,1.72,75.77,50.34,83.6,91.17,11.4,3271,2.02,0
905.48,11818,2.77,1.96,95.53,2.33,0.89,10.63,17.83,8.49,13.38,11818,100,53396,80.87,0.26,71.35,27,1.16,21.55,60514,25356,25049,6733,396,65560,38089,255,2.26,2.5,9.43,41.57,3.78,59.51,20.44,27.2,6.63,50.79,8.24,24.19,7.05,7.65,3.07,92.06,90.93,96.71,91.01,47.53,59.51,0,0,593,5.4,5.4,5.4,7.08,0.27,0.27,0.27,0.36,89.93,0.69,3.34,2.6,2.65,2.77,1.89,90.76,0.19,20.72,3,142,96.78,87.01,0,19.72,1969,0.14,0.16,111900,144400,190800,78900,488,612,870,382,708,27.1,20.7,12.1,0,0,5.02,73.9,59.99,83.95,92.78,20.3,581.7,3.52,0
8316.74,672971,2.62,24.35,72.75,1.92,2.58,13.82,28.77,13.88,9.76,664899,98.8,28513,80.64,0.47,33.84,23.41,6.33,15.21,33548,13857,15833,8114,11393,14150,11306,83815,12.81,7.26,23.13,18.39,5.2,65.89,9.15,20.61,12.43,25.2,12.64,29.38,16.5,14.64,3.1,69.79,64.73,78.04,71.52,62.69,69.91,21097,4.35,23310,11.41,19.79,27.9,35.26,0.4,0.69,0.97,1.22,93.55,0.69,4.63,3.19,2.54,2.66,2.36,64.77,4.33,45.81,3,27428,90.37,61.98,6.87,35.74,1969,6.15,0.4,45700,64000,89900,44200,266,355,441,175,431,25.6,20.6,12.4,665,155,3.46,46.39,46.33,75.84,81.96,801.7,839.4,2.65,3.05
3450.03,24967,2.69,16.95,80.88,0.94,1.53,15.86,30.25,14.99,6.79,24967,100,32779,88.36,1.26,38.74,16.91,4.07,14.94,38268,14101,14503,12498,16054,11606,9970,1640,6.69,4.07,14.66,17.61,4.98,72.75,16.61,21.05,13.55,23.43,11.29,30.3,15.37,13.39,3.15,72.52,69.27,83.5,71.28,76.46,80.56,612,3.4,468,5.34,11.97,14.32,15.81,0.1,0.22,0.27,0.3,94.53,1.12,5.06,3.62,2.65,2.87,2.29,67.4,2.44,40.89,3,1044,89.88,62.27,1.63,22.32,1969,3.21,0.18,49600,62500,77700,28100,268,328,392,124,391,24.6,17.2,11.5,0,0,1.87,57.3,49.65,77.57,86.23,15.3,1634.8,0.79,0
11722.35,196637,2.74,55.75,43.57,0.5,0.45,16.18,29.7,15.17,10.48,196594,100,23270,77.64,0.91,29.46,26.94,10.83,12.77,28401,12216,19315,6719,6269,7230,9703,43216,22.68,9.01,24.97,26.91,8.79,59.11,9.73,30.65,12.48,28.01,10.91,36.89,15.27,13.3,3.27,57.38,50.61,66.54,58.36,72,75.56,16372,10.76,2006,27.12,40.73,50.3,56.58,0.28,0.42,0.51,0.58,96.72,0.45,7.57,5.18,2.64,2.78,2.46,60.21,6.2,45.98,3,7509,90.54,57.3,10.37,40.18,1965,7.47,0.57,39900,54600,76600,36700,175,290,375,200,388,28.8,21.8,14,93,2,1.02,82.08,54.94,84.57,93.26,112.9,1741.2,1.86,4
3673.53,12974,2.63,0.3,97.43,0.99,3.24,13.5,24.7,11.62,10.36,12974,100,36171,78.26,0.9,48.34,26.01,3.37,14.35,41238,15171,15130,15500,8690,18004,12275,973,7.5,4.84,15.38,17.92,5.84,59.54,25.55,25.47,13.56,26.14,9.01,21.4,10.34,9.69,3.06,83.15,82.39,95.2,85.47,54.09,65.64,52,0.54,236,0,12.71,12.71,12.71,0,0.23,0.23,0.23,93.63,0.56,3.35,2.57,2.63,2.68,2.46,77.59,2.88,38.79,3,309,94.11,76.1,1.94,55.99,1964,3.42,0,36300,54600,79300,43000,237,282,339,102,386,22.6,15.3,11.3,0,0,1.82,72.52,62.71,90.14,96.85,9.4,1373.8,0.35,0
9116.95,20027,2.89,33.9,63.88,1.61,1.31,29.58,46.46,34.87,9.8,0,0,17826,73.04,1.82,33.95,23.83,7.7,12.38,27707,9610,11998,5156,4138,8163,5335,5036,30.26,8.95,21.53,33.99,10.69,47.49,10,40.94,9.92,34.21,5.4,55.02,9.28,7.37,3.1,65.83,58.82,77.92,70.24,64.04,68.77,1031,8.68,644,27.48,45.96,58.7,65.37,0.88,1.48,1.89,2.1,94.19,0.78,5.44,3.26,2.41,2.6,2.21,53.9,3.42,50.28,2,736,90.4,49.81,4.21,41.98,1968,8.41,0.48,40700,59100,84600,43900,185,261,326,141,329,32.5,19,12.2,0,0,3.22,69.38,40.08,60.91,86.15,17.9,1118.3,0.28,0
5175.75,17894,2.71,0.23,94.46,1.65,7.75,16.91,28.81,16.43,14.05,0,0,25878,71.32,1.03,46.28,31.76,6.54,17.22,31856,12434,12803,1739,7999,5288,6092,2172,12.92,7.67,19.31,19.17,4.83,58.83,19.49,24.52,16.08,23.42,9.08,29.34,12.61,10.95,3.03,71.84,71.47,71.96,75.62,55.62,65.9,319,2.3,1134,30.78,42.59,56.17,61.73,1.95,2.7,3.56,3.91,91.29,2.83,5.34,3.69,2.54,2.61,2.46,58.98,3.92,46.56,3,171,97.48,57.56,1.75,21.05,1972,4.99,0.38,52200,65700,84200,32000,248,328,391,143,373,26.2,19.5,11.9,14,69,6.34,45.89,39.52,67.97,82.1,8.8,2025.1,0.63,0
5030.67,45991,2.51,10.98,88.31,0.43,0.45,13.04,25.96,12.62,13.15,45991,100,25735,71.98,0.31,34.96,30.5,9.92,20.94,31347,12992,13651,7976,4946,6644,9166,7000,15.44,10.3,28.57,12.78,7.84,56.27,29.62,21.71,19.94,21.54,12.8,23.9,16,14.53,3,67.65,64.17,71.1,72.3,54.68,62.4,1425,3.75,435,4.83,7.59,10.8,21.61,0.05,0.07,0.1,0.2,96.89,0.59,4.01,2.83,2.48,2.58,2.33,62.41,2.18,50.81,2,1023,94.72,60.01,2.93,32.16,1957,8.1,0.27,42000,57600,79400,37400,211,280,357,146,376,26.1,17.6,12.9,24,0,0.95,70.57,52.48,83.91,93.41,20.9,2201.1,0.82,0
2235.18,16881,2.81,2.29,89.5,5.41,5.97,9.97,24.67,7.77,1.66,0,0,58815,96.62,1.63,52.28,4.82,0.64,5.5,62218,22512,23448,15706,10258,15351,15721,426,2.51,1.79,5.29,46.99,2.28,82.41,15.36,17.93,5.19,45.1,7.39,18.3,10.87,9.15,3.14,87.34,87.13,96.21,82.39,62.81,70.69,70,0.84,1251,16.15,25.58,37.49,53.64,1.2,1.9,2.78,3.97,87.31,1.34,2.91,2.4,2.81,2.92,2.47,79.32,2.37,27.12,3,407,93.64,76.42,0.74,42.75,1985,0.73,0.31,91600,114000,145900,54300,418,535,678,260,615,21.4,23.2,13.1,0,0,7.37,46.37,28.76,57.73,78.83,15.3,1106.5,0.72,0
5730.04,33694,2.56,6.81,90.05,0.59,3.49,14.58,28.1,13.68,12.18,33694,100,21522,69.09,0.41,35.6,29.35,17.03,15.63,26785,11210,11612,7082,5459,9932,7851,7286,22.12,8.95,28.85,10.61,10.79,53.05,25.38,21.61,23.3,19.83,12.52,30.44,17.05,15.01,3.09,59.08,57,61.75,68.13,56.61,64.68,1530,5.27,922,4.56,6.62,9.44,14.97,0.12,0.18,0.26,0.41,95.43,0.44,4.75,3.19,2.51,2.63,2.37,57.04,2.17,53.31,2,868,93.81,54.51,5.3,34.1,1946,8.59,0.48,29900,41400,60100,30200,240,316,384,144,387,31.7,18.6,15,3,0,2.74,83.68,51.52,87.26,94.46,8.3,4061.5,0.97,0
